BOLD code,Frequency,,,
BOLD:AAA8363,1,,,
BOLD:AAA8387,69,,,
BOLD:AAA8420,6,,,
BOLD:AAA8452,72,,,
BOLD:AAA8456,16,,,
BOLD:AAA8479,3,,,
BOLD:AAA8485,1,,,
BOLD:AAA8494,4,,,
BOLD:AAA8509,1,,,
BOLD:AAA8545,5,,,
BOLD:AAA8547,9,,,
BOLD:AAA8565,46,,,
BOLD:AAA8569,1,,,
BOLD:AAA8572,60,,,
BOLD:AAA8576,2,,,
BOLD:AAA8577,2,,,
BOLD:AAA8578,46,,,
BOLD:AAA8579,5,,,
BOLD:AAA8619,1,,,
BOLD:AAA8621,64,,,
BOLD:AAA8663,2,,,
BOLD:AAA8709,2,,,
BOLD:AAA8716,49,,,
BOLD:AAA8730,3,,,
BOLD:AAA8731,1,,,
BOLD:AAA8740,1,,,
BOLD:AAA8763,6,,,
BOLD:AAA8791,1,,,
BOLD:AAA8829,53,,,
BOLD:AAA8867,150,,,
BOLD:AAA8869,2,,,
BOLD:AAA8978,12,,,
BOLD:AAA8979,1,,,
BOLD:AAA8993,2,,,
BOLD:AAA9024,1,,,
BOLD:AAA9026,3,,,
BOLD:AAA9028,27,,,
BOLD:AAA9029,5,,,
BOLD:AAA9054,42,,,
BOLD:AAA9100,1,,,
BOLD:AAA9102,1,,,
BOLD:AAA9135,2,,,
BOLD:AAA9161,1,,,
BOLD:AAA9167,11,,,
BOLD:AAA9170,3,,,
BOLD:AAA9171,1,,,
BOLD:AAA9232,47,,,
BOLD:AAA9239,1,,,
BOLD:AAA9242,10,,,
BOLD:AAA9259,13,,,
BOLD:AAA9266,1,,,
BOLD:AAA9267,1,,,
BOLD:AAA9269,4,,,
BOLD:AAA9309,7,,,
BOLD:AAA9334,1,,,
BOLD:AAA9388,1,,,
BOLD:AAA9399,1,,,
BOLD:AAA9439,2,,,
BOLD:AAA9449,17,,,
BOLD:AAA9450,1,,,
BOLD:AAA9461,1,,,
BOLD:AAA9477,4,,,
BOLD:AAA9512,7,,,
BOLD:AAA9563,2,,,
BOLD:AAA9575,4,,,
BOLD:AAA9608,1,,,
