,uri,lat,lon,code
218,BOLD:AAA2143,10.9076,-85.5691,ASMG
219,BOLD:ACE4368,10.9078,-85.2914,ASMG
220,BOLD:AAE3613,10.9109,-85.19295,ACGBA
221,BOLD:ABY5381,10.9112,-85.193,ASHYC
222,BOLD:AAA7143,10.91407,-85.38174,ACGBA
223,BOLD:AAA7376,10.9141,-85.3817,ASMGJ
224,BOLD:AAC1260,10.9146,-85.4626,ACGBA
225,BOLD:ABX5021,10.9159,-85.2663,ACGAZ
226,BOLD:AAA7014,10.9163,-85.37869,ACGBA
227,BOLD:AAA5341,10.918,-85.303,ACGBA
228,BOLD:AAB1086,10.91847,-85.30338,ACGBA
229,BOLD:ACC1667,10.9185,-85.3034,ACGAZ
230,BOLD:ACY9990,10.9227,-85.4641,ACGAZ
231,BOLD:AAC1914,10.9229,-85.3188,ACGAZ
232,BOLD:AAF8353,10.92291,-85.31877,ACGBA
233,BOLD:AAM1103,10.92446,-85.46953,ACGBA
234,BOLD:AAB1086,10.9245,-85.4695,ACGBA
235,BOLD:AAA9150,10.9247,-85.4674,ACGBA
236,BOLD:AAI7305,10.92471,-85.46738,ACGBA
237,BOLD:AAC1260,10.9255,-85.4716,ACGBA
238,BOLD:ABZ2096,10.9268,-85.4533,ASMGJ
239,BOLD:ACE8120,10.9269,-85.4682,ACGBA
240,BOLD:AEJ8114,10.92691,-85.46822,ACGBA
241,BOLD:ABX4888,10.9271,-85.4668,ACGAZ
242,BOLD:AAA3684,10.92767,-85.47449,ACGBA
243,BOLD:ABZ2023,10.9277,-85.4745,ACGBA
244,BOLD:ACE8951,10.92847,-85.4668,ACGBA
245,BOLD:AAA3684,10.9285,-85.4668,ASMG
246,BOLD:AAB6131,10.92918,-85.46426,ACGBA
247,BOLD:AAC1179,10.9292,-85.4643,ACGBA
248,BOLD:AAC7955,10.9301,-85.2521,ACGAZ
249,BOLD:AAA3684,10.9302,-85.4694,ASMG
250,BOLD:ABX0806,10.93038,-85.25682,ACGBA
251,BOLD:AAA7143,10.9304,-85.2568,ACGAZ
252,BOLD:AAT9681,10.9305,-85.3722,ACGAZ
253,BOLD:AAA7143,10.93167,-85.32857,ACGBA
254,BOLD:AAA1634,10.9332,-85.2533,ASMGJ
255,BOLD:AAD1416,10.93328,-85.45729,ACGBA
256,BOLD:ABA9257,10.9333,-85.2533,ACGAZ
257,BOLD:AAF8353,10.93332,-85.25331,ACGBA
258,BOLD:AAA7181,10.9334,-85.7291,ASMGJ
259,BOLD:AAA7143,10.9336,-85.4731,ASMG
260,BOLD:AAD7175,10.93362,-85.47308,ACGBA
261,BOLD:AAA6181,10.93548,-85.25314,ACGBA
262,BOLD:ABX6174,10.9355,-85.2531,ACGAZ
263,BOLD:AAD5542,10.936,-85.3714,ASMG
264,BOLD:AAA3684,10.9364,-85.4776,ASMG
265,BOLD:AAB4227,10.9366,-85.4669,ASMG
266,BOLD:ACE8258,10.9404,-85.6804,ASMGJ
267,BOLD:AAB4574,10.94076,-85.3177,ACGBA
268,BOLD:ABY6628,10.9408,-85.3177,ACGAZ
269,BOLD:ACF3142,10.9409,-85.3383,ACGBA
270,BOLD:AAB1486,10.94259,-85.31333,ACGBA
271,BOLD:ABW1898,10.9426,-85.3133,ACGBA
272,BOLD:AAM1056,10.944,-85.3174,ACGAZ
273,BOLD:ACF3142,10.94404,-85.31738,ACGBA
274,BOLD:AAA7129,10.9459,-85.3204,ACGBA
275,BOLD:AAK2074,10.9468,-85.567,ASMG
276,BOLD:AAF8074,10.9474,-85.315,ACGAZ
277,BOLD:AAA6181,10.94741,-85.31501,ACGBA
278,BOLD:AAB1086,10.9482,-85.41777,ACGBA
279,BOLD:ABX5812,10.9512,-85.5975,ASMGJ
280,BOLD:ABZ2095,10.9515,-85.3739,ASMG
281,BOLD:ACF3142,10.95296,-85.26978,ACGBA
282,BOLD:AAL5552,10.953,-85.2698,ACGBA
283,BOLD:AAA2143,10.9538,-85.4909,ASMG
284,BOLD:ABA9257,10.9555,-85.2838,ACGAZ
285,BOLD:AAA7259,10.9564,-85.2661,ACGBA
286,BOLD:AAJ2207,10.95644,-85.26611,ACGBA
287,BOLD:AAA7143,10.95669,-85.28934,ACGBA
288,BOLD:ABA9257,10.9567,-85.2893,ACGBA
289,BOLD:ABY8216,10.957,-85.4947,ASMG
290,BOLD:AAJ1400,10.9573,-85.4951,ASMG
291,BOLD:AAM1108,10.9581,-85.2842,ACGBA
292,BOLD:AAB2471,10.95813,-85.28416,ACGBA
293,BOLD:AAA3684,10.9592,-85.4951,ASMG
294,BOLD:AAD8952,10.9599,-85.283,ACGBA
295,BOLD:ABW9830,10.95991,-85.28298,ACGBA
296,BOLD:AAB6733,10.9608,-85.3221,MHMYN
297,BOLD:AAA2668,10.96084,-85.32205,ACGBA
298,BOLD:ABX5732,10.9616,-85.4958,ASMGJ
299,BOLD:AAK2131,10.96187,-85.28045,ACGBA
300,BOLD:AAA1634,10.9619,-85.2804,ACGAZ
301,BOLD:AAE3597,10.9633,-85.3224,MHMYK
302,BOLD:AGB0841,10.96331,-85.32243,ACGBA
303,BOLD:AAB1086,10.9648,-85.3182,ACGBA
304,BOLD:AAA2668,10.96481,-85.31821,ACGBA
305,BOLD:ABY9005,10.96526,-85.32675,ACGBA
306,BOLD:AAA6181,10.96536,-85.32386,ACGBA
307,BOLD:AAA2668,10.96543,-85.32043,ACGBA
308,BOLD:ABX5072,10.96806,-85.32094,ACGBA
309,BOLD:AAF5364,10.9681,-85.3209,MHMYK
310,BOLD:AFH1141,10.9684,-85.3183,BLPAA
311,BOLD:AAB3964,10.96845,-85.31828,ACGBA
312,BOLD:AAA2668,10.9689,-85.3202,ACGBA
313,BOLD:AAA7143,10.96891,-85.3202,ACGBA
314,BOLD:ACB1783,10.9695,-85.3826,ACGAZ
315,BOLD:AAC3187,10.97073,-85.31434,ACGBA
316,BOLD:AAB8584,10.97337,-85.42088,ACGBA
317,BOLD:AAF8299,10.9734,-85.4209,ASHYD
318,BOLD:AAE9345,10.974,-85.2833,ACGBA
319,BOLD:AAE2209,10.9799,-85.3859,ACGBA
320,BOLD:ADI8449,10.9805,-85.54429,ACGBA
321,BOLD:AAF4766,10.9812,-85.4177,ASMGJ
322,BOLD:ACC1731,10.9817,-85.4278,ACGAZ
323,BOLD:AAX2170,10.98171,-85.42785,ACGBA
324,BOLD:AAB4574,10.98292,-85.4332,ASHYH
325,BOLD:AAN2677,10.9833,-85.4362,ACGAZ
326,BOLD:AAA7143,10.98332,-85.43623,ACGBA
327,BOLD:AAF8299,10.9835,-85.4212,ACGBA
328,BOLD:ABX6008,10.9839,-85.3885,ACGBA
329,BOLD:AAC2295,10.98445,-85.42481,ACGBA
330,BOLD:ABY6625,10.9845,-85.4248,ACGAZ
331,BOLD:AAM1068,10.9857,-85.4187,ACGAZ
332,BOLD:AAC2164,10.9867,-85.385,ACGAZ
333,BOLD:AER7450,10.9868,-85.4208,ACGAZ
334,BOLD:AAA7143,10.98705,-85.42816,ACGBA
335,BOLD:ABY9810,10.9871,-85.4282,ACGAZ
336,BOLD:AAB6733,10.98758,-85.41967,ACGBA
337,BOLD:AAM5735,10.9876,-85.4197,ACGAZ
338,BOLD:ABX6008,10.9881,-85.3934,ASHYH
339,BOLD:AAR9058,10.98816,-85.39581,ACGBA
340,BOLD:AAD6505,10.9882,-85.3958,ASHYB
341,BOLD:ABY6625,10.9888,-85.4234,ACGAZ
342,BOLD:ABA9252,10.9893,-85.4258,ACGAZ
343,BOLD:AEJ8971,10.98931,-85.42581,ACGBA
344,BOLD:AAA7143,10.99087,-85.4054,ACGBA
345,BOLD:ABU7421,10.9909,-85.4054,ACGAZ
346,BOLD:AAA2668,10.991,-85.3954,ACGAZ
347,BOLD:AAF7299,10.99102,-85.39539,ACGBA
348,BOLD:ABZ2095,10.9928,-85.4294,ACGAZ
349,BOLD:ABY9810,10.99284,-85.42936,ACGBA
350,BOLD:AAA6775,10.9932,-85.4746,ASMG
351,BOLD:AAA6181,10.99339,-85.40271,ACGBA
352,BOLD:AAJ1515,10.9934,-85.4027,ACGAZ
353,BOLD:AAA7225,10.9937,-85.4639,ASMG
354,BOLD:ABY7235,10.9938,-85.5211,ACGAZ
355,BOLD:ABX5680,10.9945,-85.4146,ACGAZ
356,BOLD:ADM7506,10.99455,-85.41461,ACGBA
357,BOLD:AAA7014,10.9954,-85.3998,ASHYB
358,BOLD:ABX5680,10.9959,-85.3984,ACGAZ
359,BOLD:ABX5732,10.99616,-85.45562,ACGBA
360,BOLD:AAA3684,10.9962,-85.4556,ACGBA
361,BOLD:AAB9626,10.99637,-85.40195,ACGBA
362,BOLD:ABY6628,10.9964,-85.4019,ACGAZ
363,BOLD:AAD1416,10.99689,-85.45679,ACGBA
364,BOLD:ACF0511,10.99697,-85.39666,ACGBA
365,BOLD:ABX5615,10.997,-85.3967,ACGBA
366,BOLD:AAD9762,10.9971,-85.4032,ASHYB
367,BOLD:AAK7552,10.9985,-85.3687,ASHYB
368,BOLD:AAM1062,11.00006,-85.40195,BLPDF
369,BOLD:AAA3229,11.0001,-85.4019,ACGBA
370,BOLD:AAA3229,11.0002,-85.4561,ASMGJ
371,BOLD:ABY6627,11.00025,-85.45614,ACGBA
372,BOLD:AAA3229,11.0005,-85.3934,ASBR
373,BOLD:AAF8021,11.00054,-85.39341,ACGBA
374,BOLD:AAF5701,11.0006,-85.438,ACGBA
375,BOLD:AEA9104,11.00199,-85.46166,ACGBA
376,BOLD:AAD1416,11.002,-85.4617,ACGAZ
377,BOLD:ACF2960,11.00217,-85.46337,ACGBA
378,BOLD:AAA7014,11.0022,-85.4634,ACGBA
379,BOLD:ABA9261,11.0031,-85.4204,ACGAZ
380,BOLD:AAB5701,11.00311,-85.42041,ACGBA
381,BOLD:AAA8037,11.0043,-85.4165,ASMGJ
382,BOLD:AAA7259,11.0049,-85.4749,ACGBA
383,BOLD:ADI8449,11.00494,-85.47491,ACGBA
384,BOLD:ABY9005,11.0052,-85.474,ACGBA
385,BOLD:ABX5732,11.0056,-85.5743,ASMGJ
386,BOLD:ABX4888,11.00562,-85.57429,ACGBA
387,BOLD:ABY9005,11.0077,-85.4793,ASMG
388,BOLD:AAA6181,11.0089,-85.4098,ACGBA
389,BOLD:AAE3597,11.00987,-85.39214,ACGBA
390,BOLD:ABZ7193,11.0099,-85.3921,ACGAZ
391,BOLD:ADI8449,11.01087,-85.48817,ACGBA
392,BOLD:AAF5701,11.0109,-85.4882,ACGBA
393,BOLD:AAC2295,11.01095,-85.42094,ACGBA
394,BOLD:ABX6174,11.011,-85.4209,ACGBA
395,BOLD:AAE6746,11.01182,-85.53167,ACGBA
396,BOLD:AAA7259,11.01227,-85.34929,ACGBA
397,BOLD:ABY6627,11.0123,-85.3493,ACGAZ
398,BOLD:AAD6862,11.0135,-85.4241,ACGAZ
399,BOLD:AAB4946,11.01355,-85.42406,ACGBA
400,BOLD:AAA3229,11.0137,-85.4253,ASMGJ
401,BOLD:AAJ1375,11.01373,-85.42531,ACGBA
402,BOLD:AAA7143,11.0145,-85.4749,ASMG
403,BOLD:AAA6775,11.0148,-85.3638,ASMGJ
404,BOLD:ADA7564,11.01525,-85.39766,ACGBA
405,BOLD:AAC2164,11.0153,-85.3977,ACGAZ
406,BOLD:AAA3229,11.0154,-85.5113,ASMGJ
407,BOLD:AAA7143,11.016,-85.3805,ACGAZ
408,BOLD:AAA7143,11.01602,-85.38053,ACGBA
